"Name" "Team" "Position" "Height" "Weight" "Age" "PosCategory"
"38" "Paul_Konerko" "CWS" "First_Baseman" 74 215 30.99 "Infielder"
"39" "Tadahito_Iguchi" "CWS" "Second_Baseman" 69 185 32.24 "Infielder"
"40" "Juan_Uribe" "CWS" "Shortstop" 71 175 27.61 "Infielder"
"41" "Alex_Cintron" "CWS" "Shortstop" 74 199 28.2 "Infielder"
"42" "Joe_Crede" "CWS" "Third_Baseman" 73 200 28.85 "Infielder"
"43" "Josh_Fields" "CWS" "Third_Baseman" 73 215 24.21 "Infielder"
"44" "Ryan_Sweeney" "CWS" "Outfielder" 76 200 22.02 "Outfielder"
"45" "Brian_N._Anderson" "CWS" "Outfielder" 74 205 24.97 "Outfielder"
"46" "Luis_Terrero" "CWS" "Outfielder" 74 206 26.78 "Outfielder"
"47" "Pablo_Ozuna" "CWS" "Outfielder" 70 186 32.51 "Outfielder"
"48" "Scott_Podsednik" "CWS" "Outfielder" 72 188 30.95 "Outfielder"
"49" "Jermaine_Dye" "CWS" "Outfielder" 77 220 33.09 "Outfielder"
"50" "Darin_Erstad" "CWS" "Outfielder" 74 210 32.74 "Outfielder"
"51" "Rob_Mackowiak" "CWS" "Outfielder" 70 195 30.69 "Outfielder"
"54" "Charlie_Haeger" "CWS" "Starting_Pitcher" 73 200 23.45 "Pitcher"
"55" "Heath_Phillips" "CWS" "Starting_Pitcher" 75 200 24.94 "Pitcher"
"56" "Gavin_Floyd" "CWS" "Starting_Pitcher" 76 212 24.09 "Pitcher"
"57" "Jose_Contreras" "CWS" "Starting_Pitcher" 76 224 35.23 "Pitcher"
"58" "Jon_Garland" "CWS" "Starting_Pitcher" 78 210 27.43 "Pitcher"
"59" "Javier_Vazquez" "CWS" "Starting_Pitcher" 74 205 30.6 "Pitcher"
"60" "Mark_Buehrle" "CWS" "Starting_Pitcher" 74 220 27.94 "Pitcher"
"61" "Mike_MacDougal" "CWS" "Relief_Pitcher" 76 195 29.99 "Pitcher"
"62" "David_Aardsma" "CWS" "Relief_Pitcher" 77 200 25.17 "Pitcher"
"63" "Andrew_Sisco" "CWS" "Relief_Pitcher" 81 260 24.13 "Pitcher"
"64" "Matt_Thornton" "CWS" "Relief_Pitcher" 78 228 30.46 "Pitcher"
"65" "Bobby_Jenks" "CWS" "Relief_Pitcher" 75 270 25.96 "Pitcher"
"66" "Boone_Logan" "CWS" "Relief_Pitcher" 77 200 22.55 "Pitcher"
"67" "Sean_Tracey" "CWS" "Relief_Pitcher" 75 210 26.29 "Pitcher"
"68" "Nick_Masset" "CWS" "Relief_Pitcher" 76 190 24.79 "Pitcher"
"69" "Jose_Molina" "ANA" "Catcher" 74 220 31.74 "Catcher"
"70" "Jeff_Mathis" "ANA" "Catcher" 72 180 23.92 "Catcher"
"71" "Mike_Napoli" "ANA" "Catcher" 72 205 25.33 "Catcher"
"72" "Casey_Kotchman" "ANA" "First_Baseman" 75 210 24.02 "Infielder"
"73" "Kendry_Morales" "ANA" "First_Baseman" 73 220 23.7 "Infielder"
"74" "Shea_Hillenbrand" "ANA" "First_Baseman" 73 211 31.59 "Infielder"
"75" "Robb_Quinlan" "ANA" "First_Baseman" 73 200 29.95 "Infielder"
"76" "Howie_Kendrick" "ANA" "First_Baseman" 70 180 23.64 "Infielder"
"77" "Orlando_Cabrera" "ANA" "Shortstop" 70 190 32.33 "Infielder"
"78" "Erick_Aybar" "ANA" "Shortstop" 70 170 23.13 "Infielder"
"79" "Dallas_McPherson" "ANA" "Third_Baseman" 76 230 26.6 "Infielder"
"80" "Maicer_Izturis" "ANA" "Third_Baseman" 68 155 26.46 "Infielder"
"81" "Reggie_Willits" "ANA" "Outfielder" 71 185 25.75 "Outfielder"
"82" "Tommy_Murphy" "ANA" "Outfielder" 72 185 27.51 "Outfielder"
"83" "Terry_Evans" "ANA" "Outfielder" 75 200 25.11 "Outfielder"
"84" "Gary_Matthews_Jr." "ANA" "Outfielder" 75 225 32.51 "Outfielder"
"85" "Garret_Anderson" "ANA" "Outfielder" 75 225 34.67 "Outfielder"
"86" "Vladimir_Guerrero" "ANA" "Outfielder" 75 220 31.06 "Outfielder"
"87" "Chone_Figgins" "ANA" "Outfielder" 68 160 29.1 "Outfielder"
"88" "Juan_Rivera" "ANA" "Outfielder" 74 205 28.66 "Outfielder"
"89" "John_Lackey" "ANA" "Starting_Pitcher" 78 235 28.35 "Pitcher"
"90" "Bartolo_Colon" "ANA" "Starting_Pitcher" 71 250 33.77 "Pitcher"
"91" "Kelvim_Escobar" "ANA" "Starting_Pitcher" 73 210 30.89 "Pitcher"
"92" "Dustin_Moseley" "ANA" "Starting_Pitcher" 76 190 37.74 "Pitcher"
"93" "Ervin_Santana" "ANA" "Starting_Pitcher" 74 160 24.14 "Pitcher"
"94" "Joe_Saunders" "ANA" "Starting_Pitcher" 74 200 25.71 "Pitcher"
"95" "Jered_Weaver" "ANA" "Starting_Pitcher" 79 205 24.41 "Pitcher"
"96" "Chris_Resop" "ANA" "Relief_Pitcher" 75 222 24.32 "Pitcher"
"97" "Phil_Seibel" "ANA" "Relief_Pitcher" 73 195 28.09 "Pitcher"
"98" "Justin_Speier" "ANA" "Relief_Pitcher" 76 205 33.31 "Pitcher"
"99" "Darren_Oliver" "ANA" "Relief_Pitcher" 74 220 36.4 "Pitcher"
"100" "Hector_Carrasco" "ANA" "Relief_Pitcher" 74 220 37.36 "Pitcher"
"101" "Scot_Shields" "ANA" "Relief_Pitcher" 73 170 31.61 "Pitcher"
"102" "Francisco_Rodriguez" "ANA" "Relief_Pitcher" 72 185 25.14 "Pitcher"
"103" "Greg_Jones" "ANA" "Relief_Pitcher" 74 195 30.29 "Pitcher"
"104" "Doug_Mirabelli" "BOS" "Catcher" 73 220 36.37 "Catcher"
"105" "Jason_Varitek" "BOS" "Catcher" 74 230 34.89 "Catcher"
"106" "George_Kottaras" "BOS" "Catcher" 72 180 23.79 "Catcher"
"107" "Kevin_Youkilis" "BOS" "First_Baseman" 73 220 27.96 "Infielder"
"108" "Dustin_Pedroia" "BOS" "Second_Baseman" 69 180 23.54 "Infielder"
"109" "Alex_Cora" "BOS" "Shortstop" 72 180 31.37 "Infielder"
"110" "Julio_Lugo" "BOS" "Shortstop" 73 170 31.29 "Infielder"
"111" "Mike_Lowell" "BOS" "Third_Baseman" 75 210 33.01 "Infielder"
"112" "Wily_Mo_Pe?a" "BOS" "Outfielder" 75 215 25.1 "Outfielder"
"113" "J.D._Drew" "BOS" "Outfielder" 73 200 31.28 "Outfielder"
"114" "Manny_Ramirez" "BOS" "Outfielder" 72 213 34.75 "Outfielder"
"115" "Brandon_Moss" "BOS" "Outfielder" 72 180 23.46 "Outfielder"
"116" "David_Murphy" "BOS" "Outfielder" 76 192 25.37 "Outfielder"
"117" "Eric_Hinske" "BOS" "Outfielder" 74 235 29.57 "Outfielder"
"118" "Coco_Crisp" "BOS" "Outfielder" 72 185 27.33 "Outfielder"
"120" "Curt_Schilling" "BOS" "Starting_Pitcher" 77 235 40.29 "Pitcher"
"121" "Tim_Wakefield" "BOS" "Starting_Pitcher" 74 210 40.58 "Pitcher"
"122" "Josh_Beckett" "BOS" "Starting_Pitcher" 77 222 26.79 "Pitcher"
"123" "Matt_Clement" "BOS" "Starting_Pitcher" 75 210 32.55 "Pitcher"
"124" "Jonathan_Papelbon" "BOS" "Starting_Pitcher" 76 230 26.27 "Pitcher"
"125" "Kyle_Snyder" "BOS" "Starting_Pitcher" 80 220 29.47 "Pitcher"
"126" "Devern_Hansack" "BOS" "Starting_Pitcher" 74 180 29.07 "Pitcher"
"127" "Jon_Lester" "BOS" "Starting_Pitcher" 74 190 23.15 "Pitcher"
"128" "Kason_Gabbard" "BOS" "Starting_Pitcher" 75 200 24.9 "Pitcher"
"129" "Craig_Hansen" "BOS" "Relief_Pitcher" 78 210 23.29 "Pitcher"
"130" "Hideki_Okajima" "BOS" "Relief_Pitcher" 73 194 31.18 "Pitcher"
"131" "Craig_Breslow" "BOS" "Relief_Pitcher" 73 180 26.56 "Pitcher"
"132" "Manny_Delcarmen" "BOS" "Relief_Pitcher" 74 190 25.03 "Pitcher"
"133" "Brendan_Donnelly" "BOS" "Relief_Pitcher" 75 240 35.66 "Pitcher"
"134" "Javier_Lopez" "BOS" "Relief_Pitcher" 76 200 29.64 "Pitcher"
"135" "J.C._Romero" "BOS" "Relief_Pitcher" 71 198 30.74 "Pitcher"
"136" "Joel_Pineiro" "BOS" "Relief_Pitcher" 73 200 28.43 "Pitcher"
"137" "Julian_Tavarez" "BOS" "Relief_Pitcher" 74 195 33.77 "Pitcher"
"138" "Mike_Timlin" "BOS" "Relief_Pitcher" 76 210 40.97 "Pitcher"
"139" "Nick_DeBarr" "BOS" "Relief_Pitcher" 76 220 23.52 "Pitcher"
"140" "Victor_Martinez" "CLE" "Catcher" 74 190 28.19 "Catcher"
"141" "Kelly_Shoppach" "CLE" "Catcher" 73 210 26.84 "Catcher"
"142" "Ryan_Garko" "CLE" "First_Baseman" 74 225 26.16 "Infielder"
"143" "Joe_Inglett" "CLE" "Second_Baseman" 70 180 28.67 "Infielder"
"144" "Josh_Barfield" "CLE" "Second_Baseman" 72 185 24.2 "Infielder"
"145" "Hector_Luna" "CLE" "Second_Baseman" 73 170 27.08 "Infielder"
"146" "Jhonny_Peralta" "CLE" "Shortstop" 73 185 24.76 "Infielder"
"147" "Andy_Marte" "CLE" "Third_Baseman" 73 185 23.36 "Infielder"
"148" "Ben_Francisco" "CLE" "Outfielder" 73 180 25.35 "Outfielder"
"149" "Shin-Soo_Choo" "CLE" "Outfielder" 71 178 24.63 "Outfielder"
"150" "Franklin_Gutierrez" "CLE" "Outfielder" 74 175 24.02 "Outfielder"
"151" "Grady_Sizemore" "CLE" "Outfielder" 74 200 24.58 "Outfielder"
"152" "Jason_Michaels" "CLE" "Outfielder" 72 204 30.82 "Outfielder"
"153" "Trot_Nixon" "CLE" "Outfielder" 74 211 32.89 "Outfielder"
"154" "David_Dellucci" "CLE" "Outfielder" 71 190 33.33 "Outfielder"
"155" "Casey_Blake" "CLE" "Outfielder" 74 210 33.52 "Outfielder"
"157" "Paul_Byrd" "CLE" "Starting_Pitcher" 73 190 36.24 "Pitcher"
"158" "Cliff_Lee" "CLE" "Starting_Pitcher" 75 190 28.5 "Pitcher"
"159" "Jake_Westbrook" "CLE" "Starting_Pitcher" 75 185 29.42 "Pitcher"
"160" "C.C._Sabathia" "CLE" "Starting_Pitcher" 79 290 26.61 "Pitcher"
"161" "Jeremy_Sowers" "CLE" "Starting_Pitcher" 73 175 23.79 "Pitcher"
"162" "Rafael_Perez" "CLE" "Relief_Pitcher" 75 185 24.96 "Pitcher"
"163" "Brian_Slocum" "CLE" "Relief_Pitcher" 76 200 25.93 "Pitcher"
"164" "Edward_Mujica" "CLE" "Relief_Pitcher" 74 220 22.81 "Pitcher"
"165" "Fernando_Cabrera" "CLE" "Relief_Pitcher" 76 170 25.29 "Pitcher"
"166" "Tom_Mastny" "CLE" "Relief_Pitcher" 78 220 26.07 "Pitcher"
"167" "Juan_Lara" "CLE" "Relief_Pitcher" 74 190 26.09 "Pitcher"
"168" "Fausto_Carmona" "CLE" "Relief_Pitcher" 76 220 23.23 "Pitcher"
"169" "Aaron_Fultz" "CLE" "Relief_Pitcher" 72 205 33.49 "Pitcher"
"170" "Rafael_Betancourt" "CLE" "Relief_Pitcher" 74 200 31.84 "Pitcher"
"171" "Roberto_Hernandez" "CLE" "Relief_Pitcher" 76 250 42.3 "Pitcher"
"172" "Joe_Borowski" "CLE" "Relief_Pitcher" 74 225 35.82 "Pitcher"
"173" "Matt_Miller" "CLE" "Relief_Pitcher" 75 215 35.27 "Pitcher"
"174" "Jason_Davis" "CLE" "Relief_Pitcher" 78 210 26.81 "Pitcher"
"175" "Mike_Piazza" "OAK" "Catcher" 75 215 38.49 "Catcher"
"176" "Jason_Kendall" "OAK" "Catcher" 72 195 32.68 "Catcher"
"177" "Adam_Melhuse" "OAK" "Catcher" 74 200 34.93 "Catcher"
"178" "Nick_Swisher" "OAK" "First_Baseman" 72 194 26.26 "Infielder"
"179" "Dan_Johnson" "OAK" "First_Baseman" 74 220 27.56 "Infielder"
"180" "Donald_Murphy" "OAK" "Second_Baseman" 70 180 23.98 "Infielder"
"181" "Mark_Ellis" "OAK" "Second_Baseman" 71 180 29.73 "Infielder"
"182" "Marco_Scutaro" "OAK" "Shortstop" 70 170 31.33 "Infielder"
"183" "Bobby_Crosby" "OAK" "Shortstop" 75 195 27.13 "Infielder"
"184" "Mark_Kiger" "OAK" "Shortstop" 71 180 26.75 "Infielder"
"185" "Antonio_Perez" "OAK" "Third_Baseman" 71 170 27.09 "Infielder"
"186" "Eric_Chavez" "OAK" "Third_Baseman" 73 206 29.23 "Infielder"
"187" "Milton_Bradley" "OAK" "Outfielder" 72 205 28.88 "Outfielder"
"188" "Shannon_Stewart" "OAK" "Outfielder" 71 200 33.01 "Outfielder"
"189" "Bobby_Kielty" "OAK" "Outfielder" 73 225 30.57 "Outfielder"
"190" "Mark_Kotsay" "OAK" "Outfielder" 72 201 31.24 "Outfielder"
"191" "Ryan_Goleski" "OAK" "Outfielder" 75 225 24.95 "Outfielder"
"193" "Jason_Windsor" "OAK" "Starting_Pitcher" 74 233 24.62 "Pitcher"
"194" "David_Shafer" "OAK" "Starting_Pitcher" 74 180 24.98 "Pitcher"
"195" "Joe_Blanton" "OAK" "Starting_Pitcher" 75 225 26.22 "Pitcher"
"196" "Brad_Halsey" "OAK" "Starting_Pitcher" 73 180 26.04 "Pitcher"
"197" "Dan_Haren" "OAK" "Starting_Pitcher" 77 220 26.45 "Pitcher"
"198" "Rich_Harden" "OAK" "Starting_Pitcher" 73 180 25.25 "Pitcher"
"199" "Joe_Kennedy" "OAK" "Starting_Pitcher" 76 237 27.77 "Pitcher"
"200" "Esteban_Loaiza" "OAK" "Starting_Pitcher" 75 215 35.16 "Pitcher"
"201" "Alan_Embree" "OAK" "Relief_Pitcher" 74 190 37.1 "Pitcher"
"202" "Jay_Witasick" "OAK" "Relief_Pitcher" 76 235 34.51 "Pitcher"
"203" "Justin_Duchscherer" "OAK" "Relief_Pitcher" 75 190 29.28 "Pitcher"
"204" "Kiko_Calero" "OAK" "Relief_Pitcher" 73 180 32.14 "Pitcher"
"205" "Chad_Gaudin" "OAK" "Relief_Pitcher" 71 165 23.94 "Pitcher"
"206" "Lenny_DiNardo" "OAK" "Relief_Pitcher" 76 195 27.45 "Pitcher"
"207" "Scott_Dunn" "OAK" "Relief_Pitcher" 75 200 28.77 "Pitcher"
"208" "Huston_Street" "OAK" "Relief_Pitcher" 72 190 23.58 "Pitcher"
"209" "Ron_Flores" "OAK" "Relief_Pitcher" 71 190 27.56 "Pitcher"
"210" "Jay_Marshall" "OAK" "Relief_Pitcher" 77 185 24.01 "Pitcher"
"211" "Marcus_McBeth" "OAK" "Relief_Pitcher" 73 185 26.52 "Pitcher"
"212" "Jorge_Posada" "NYY" "Catcher" 74 205 35.54 "Catcher"
"213" "Wil_Nieves" "NYY" "Catcher" 71 190 29.43 "Catcher"
"214" "Andy_Phillips" "NYY" "First_Baseman" 72 205 29.9 "Infielder"
"215" "Doug_Mientkiewicz" "NYY" "First_Baseman" 74 206 32.7 "Infielder"
"216" "Josh_Phelps" "NYY" "First_Baseman" 75 220 28.8 "Infielder"
"217" "Miguel_Cairo" "NYY" "Second_Baseman" 73 208 32.82 "Infielder"
"218" "Robinson_Cano" "NYY" "Second_Baseman" 72 170 24.36 "Infielder"
"219" "Derek_Jeter" "NYY" "Shortstop" 75 195 32.68 "Infielder"
"220" "Alex_Rodriguez" "NYY" "Third_Baseman" 75 210 31.59 "Infielder"
"221" "Johnny_Damon" "NYY" "Outfielder" 74 190 33.32 "Outfielder"
"222" "Bobby_Abreu" "NYY" "Outfielder" 72 211 32.97 "Outfielder"
"223" "Hideki_Matsui" "NYY" "Outfielder" 74 230 32.72 "Outfielder"
"224" "Melky_Cabrera" "NYY" "Outfielder" 71 170 22.55 "Outfielder"
"225" "Kevin_Thompson" "NYY" "Outfielder" 70 185 27.45 "Outfielder"
"227" "Mike_Mussina" "NYY" "Starting_Pitcher" 74 185 38.23 "Pitcher"
"228" "Carl_Pavano" "NYY" "Starting_Pitcher" 77 241 31.14 "Pitcher"
"229" "Andy_Pettitte" "NYY" "Starting_Pitcher" 77 225 34.71 "Pitcher"
"230" "Darrell_Rasner" "NYY" "Starting_Pitcher" 75 210 26.13 "Pitcher"
"231" "Jeff_Karstens" "NYY" "Starting_Pitcher" 75 175 24.43 "Pitcher"
"232" "Humberto_Sanchez" "NYY" "Starting_Pitcher" 78 230 23.76 "Pitcher"
"233" "Chien-Ming_Wang" "NYY" "Starting_Pitcher" 75 200 26.92 "Pitcher"
"234" "Sean_Henn" "NYY" "Relief_Pitcher" 76 215 25.85 "Pitcher"
"235" "Scott_Proctor" "NYY" "Relief_Pitcher" 73 198 30.16 "Pitcher"
"236" "Brian_Bruney" "NYY" "Relief_Pitcher" 75 226 25.03 "Pitcher"
"237" "Chris_Britton" "NYY" "Relief_Pitcher" 75 278 24.21 "Pitcher"
"238" "T.J._Beam" "NYY" "Relief_Pitcher" 79 215 26.51 "Pitcher"
"239" "Jose_Veras" "NYY" "Relief_Pitcher" 77 230 26.36 "Pitcher"
"240" "Kyle_Farnsworth" "NYY" "Relief_Pitcher" 76 240 30.88 "Pitcher"
"241" "Luis_Vizcaino" "NYY" "Relief_Pitcher" 71 184 32.57 "Pitcher"
"242" "Mike_Myers" "NYY" "Relief_Pitcher" 75 219 37.68 "Pitcher"
"243" "Mariano_Rivera" "NYY" "Relief_Pitcher" 74 170 37.25 "Pitcher"
"244" "Ivan_Rodriguez" "DET" "Catcher" 69 218 35.25 "Catcher"
"245" "Vance_Wilson" "DET" "Catcher" 71 190 33.95 "Catcher"
"246" "Sean_Casey" "DET" "First_Baseman" 76 225 32.66 "Infielder"
"247" "Chris_Shelton" "DET" "First_Baseman" 72 220 26.68 "Infielder"
"248" "Omar_Infante" "DET" "Second_Baseman" 72 176 25.18 "Infielder"
"249" "Placido_Polanco" "DET" "Second_Baseman" 70 190 31.39 "Infielder"
"250" "Neifi_Perez" "DET" "Second_Baseman" 72 197 33.74 "Infielder"
"251" "Carlos_Guillen" "DET" "Shortstop" 73 204 31.42 "Infielder"
"252" "Ramon_Santiago" "DET" "Shortstop" 71 167 27.5 "Infielder"
"253" "Tony_Giarratano" "DET" "Shortstop" 72 180 24.25 "Infielder"
"254" "Brandon_Inge" "DET" "Third_Baseman" 71 195 29.78 "Infielder"
"255" "Craig_Monroe" "DET" "Outfielder" 73 220 30 "Outfielder"
"256" "Magglio_Ordo?ez" "DET" "Outfielder" 72 215 33.09 "Outfielder"
"257" "Curtis_Granderson" "DET" "Outfielder" 73 185 25.96 "Outfielder"
"258" "Brent_Clevlen" "DET" "Outfielder" 74 190 23.34 "Outfielder"
"259" "Marcus_Thames" "DET" "Outfielder" 74 205 29.98 "Outfielder"
"260" "Gary_Sheffield" "DET" "Outfielder" 72 205 38.28 "Outfielder"
"262" "Zach_Miner" "DET" "Starting_Pitcher" 75 200 24.97 "Pitcher"
"263" "Jeremy_Bonderman" "DET" "Starting_Pitcher" 74 210 24.34 "Pitcher"
"264" "Nate_Robertson" "DET" "Starting_Pitcher" 74 215 29.49 "Pitcher"
"265" "Justin_Verlander" "DET" "Starting_Pitcher" 77 200 24.02 "Pitcher"
"266" "Virgil_Vasquez" "DET" "Starting_Pitcher" 75 205 24.73 "Pitcher"
"267" "Kenny_Rogers" "DET" "Starting_Pitcher" 73 211 42.3 "Pitcher"
"268" "Mike_Maroth" "DET" "Starting_Pitcher" 72 190 29.54 "Pitcher"
"269" "Fernando_Rodney" "DET" "Relief_Pitcher" 71 208 29.95 "Pitcher"
"270" "Chad_Durbin" "DET" "Relief_Pitcher" 74 200 29.24 "Pitcher"
"271" "Jason_Grilli" "DET" "Relief_Pitcher" 77 210 30.3 "Pitcher"
"272" "Jose_Mesa" "DET" "Relief_Pitcher" 75 232 40.77 "Pitcher"
"273" "Todd_Jones" "DET" "Relief_Pitcher" 75 230 38.85 "Pitcher"
"274" "Joel_Zumaya" "DET" "Relief_Pitcher" 75 210 22.31 "Pitcher"
"275" "Jordan_Tata" "DET" "Relief_Pitcher" 78 220 25.44 "Pitcher"
"276" "Andrew_Miller" "DET" "Relief_Pitcher" 78 210 21.78 "Pitcher"
"277" "Yorman_Bazardo" "DET" "Relief_Pitcher" 74 202 22.64 "Pitcher"
"278" "Wilfredo_Ledezma" "DET" "Relief_Pitcher" 76 212 26.11 "Pitcher"
"279" "Roman_Colon" "DET" "Relief_Pitcher" 78 225 27.55 "Pitcher"
"280" "Edward_Campusano" "DET" "Relief_Pitcher" 76 170 24.63 "Pitcher"
"281" "Rene_Rivera" "SEA" "Catcher" 70 190 23.58 "Catcher"
"282" "Kenji_Johjima" "SEA" "Catcher" 72 200 30.73 "Catcher"
"283" "Richie_Sexson" "SEA" "First_Baseman" 80 237 32.17 "Infielder"
"284" "Ben_Broussard" "SEA" "First_Baseman" 74 220 30.43 "Infielder"
"285" "Jose_Lopez" "SEA" "Second_Baseman" 74 170 23.27 "Infielder"
"286" "Jose_Vidro" "SEA" "Second_Baseman" 71 193 32.51 "Infielder"
"287" "Yuniesky_Betancourt" "SEA" "Shortstop" 70 190 25.08 "Infielder"
"288" "Oswaldo_Navarro" "SEA" "Shortstop" 72 150 22.41 "Infielder"
"289" "Adrian_Beltre" "SEA" "Third_Baseman" 71 220 27.9 "Infielder"
"290" "Raul_Ibanez" "SEA" "Outfielder" 74 200 34.74 "Outfielder"
"291" "Jose_Guillen" "SEA" "Outfielder" 71 190 30.79 "Outfielder"
"292" "Jeremy_Reed" "SEA" "Outfielder" 72 185 25.71 "Outfielder"
"293" "Willie_Bloomquist" "SEA" "Outfielder" 71 185 29.26 "Outfielder"
"294" "Adam_Jones" "SEA" "Outfielder" 74 200 21.58 "Outfielder"
"295" "Ichiro_Suzuki" "SEA" "Outfielder" 69 172 33.36 "Outfielder"
"296" "Mike_Morse" "SEA" "Outfielder" 76 220 24.94 "Outfielder"
"297" "Felix_Hernandez" "SEA" "Starting_Pitcher" 75 225 20.9 "Pitcher"
"298" "Ryan_Feierabend" "SEA" "Starting_Pitcher" 75 190 21.52 "Pitcher"
"299" "Sean_White" "SEA" "Starting_Pitcher" 76 195 25.85 "Pitcher"
"300" "Horacio_Ramirez" "SEA" "Starting_Pitcher" 73 219 27.27 "Pitcher"
"301" "Cha_Baek" "SEA" "Starting_Pitcher" 76 190 26.75 "Pitcher"
"302" "Miguel_Batista" "SEA" "Starting_Pitcher" 73 197 36.03 "Pitcher"
"303" "Jeff_Weaver" "SEA" "Starting_Pitcher" 77 200 30.52 "Pitcher"
"304" "Jarrod_Washburn" "SEA" "Starting_Pitcher" 73 195 32.55 "Pitcher"
"305" "George_Sherrill" "SEA" "Relief_Pitcher" 72 210 29.86 "Pitcher"
"306" "Julio_Mateo" "SEA" "Relief_Pitcher" 72 177 29.58 "Pitcher"
"307" "J.J._Putz" "SEA" "Relief_Pitcher" 77 220 30.02 "Pitcher"
"308" "Chris_Reitsma" "SEA" "Relief_Pitcher" 77 235 29.16 "Pitcher"
"309" "Cesar_Jimenez" "SEA" "Relief_Pitcher" 71 180 22.3 "Pitcher"
"310" "Eric_O'Flaherty" "SEA" "Relief_Pitcher" 74 195 22.06 "Pitcher"
"311" "Jon_Huber" "SEA" "Relief_Pitcher" 74 195 25.65 "Pitcher"
"312" "Jake_Woods" "SEA" "Relief_Pitcher" 73 190 25.49 "Pitcher"
"313" "Sean_Green" "SEA" "Relief_Pitcher" 78 230 27.86 "Pitcher"
"314" "Mark_Lowe" "SEA" "Relief_Pitcher" 75 190 23.73 "Pitcher"
"315" "Josh_Paul" "TB" "Catcher" 73 200 31.78 "Catcher"
"316" "Dioner_Navarro" "TB" "Catcher" 70 190 23.06 "Catcher"
"317" "Shawn_Riggans" "TB" "Catcher" 74 190 26.6 "Catcher"
"318" "Ty_Wigginton" "TB" "First_Baseman" 72 200 29.39 "Infielder"
"319" "Brendan_Harris" "TB" "Second_Baseman" 73 200 26.51 "Infielder"
"320" "Jorge_Cantu" "TB" "Second_Baseman" 73 184 25.08 "Infielder"
"321" "Ben_Zobrist" "TB" "Shortstop" 75 200 25.76 "Infielder"
"322" "B.J._Upton" "TB" "Third_Baseman" 75 180 22.52 "Infielder"
"323" "Carl_Crawford" "TB" "Outfielder" 74 219 25.57 "Outfielder"
